Var1,i_dc,i_a
0.00071,-0.0214816987447443,86.3133564644742
0.000715,-0.0198438881183707,85.99221368752
0.00072,-75.1109610148113,90.1067054418327
0.000725,-91.0466815498331,94.2167160308968
0.00073,-239.956870777937,96.0233400795994
0.000735,-39.997420687023,95.687028859771
0.00074,-6.68802468024788,95.3486734269525
0.000745,-1.13183342254476,95.0082918999917
0.00075,-0.205030027903433,94.6659023671015
0.000755,-0.0504341019308754,94.3215228847228
0.00076,-0.0246466475085469,93.9751714763924
0.000765,-223.384249170608,95.7416929682762
0.00077,-120.417440388667,99.8176545104196
0.000775,-106.663026788252,103.889105450834
0.00078,-107.757044897907,107.955780772494
0.000785,-111.323804506449,112.017584579923
0.00079,-18.5670196961099,111.648077836727
0.000795,-3.11334207311467,111.276615142607
0.0008,-0.535583278249714,110.903214818911
0.000805,-0.105598871488697,110.527895151913
0.00081,-0.0338750972113148,110.150674391375
0.000815,-95.1859441743889,114.193076076149
0.00082,-114.403099843779,118.230094599146
0.000825,-120.967856023887,122.261842010696
0.00083,-125.417704278507,126.288287187083
0.000835,-252.387988647924,127.96154349817
0.00084,-42.0696594491338,127.560504381671
0.000845,-7.03368555300082,127.157587746584
0.00085,-1.18949156558543,126.752812186126
0.000855,-0.214647724648103,126.346196254187
0.00086,-0.0520383868808381,125.93775846423
0.000865,-0.0249142510875231,125.527517288192
0.00087,-107.959960071398,129.523179270021
0.000875,-129.267464685095,133.512958250194
0.00088,-136.141148955914,137.496993408756
